date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1999-02-05T00:00:00,Toronto Raptors,Kevin Willis,Starter,40.66666666666666,11,21,0.524,0,1,0.0,6,7,0.857,5,11,16,2,1,0,5,5,28,12.0
1999-02-05T00:00:00,Atlanta Hawks,Ed Gray,Reserve,14.233333333333333,3,8,0.375,1,2,0.5,0,0,,0,0,0,0,2,0,1,0,7,2.0
1999-02-05T00:00:00,Atlanta Hawks,Mark West,Reserve,11.183333333333335,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-7.0
1999-02-05T00:00:00,Atlanta Hawks,Anthony Johnson,Reserve,10.166666666666666,0,1,0.0,0,0,,2,2,1.0,0,1,1,2,1,0,2,3,2,0.0
1999-02-05T00:00:00,Atlanta Hawks,Shammond Williams,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
1999-02-05T00:00:00,Atlanta Hawks,Chris Crawford,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
1999-02-05T00:00:00,Atlanta Hawks,Jeff Sheppard,Reserve,0.0,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0.0
1999-02-05T00:00:00,Chicago Bulls,Rusty LaRue,Reserve,4.066666666666666,0,2,0.0,0,2,0.0,0,0,,0,0,0,2,1,0,1,0,0,-3.0
1999-02-05T00:00:00,Chicago Bulls,Keith Booth,Reserve,4.066666666666666,0,4,0.0,0,0,,0,0,,3,1,4,1,0,0,1,1,0,-2.0
1999-02-05T00:00:00,Chicago Bulls,Mario Bennett,Reserve,2.033333333333333,0,1,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,-6.0
1999-02-05T00:00:00,Utah Jazz,Karl Malone,Starter,39.65,6,10,0.6,0,0,,9,11,0.818,2,6,8,3,2,2,3,3,21,1.0
1999-02-05T00:00:00,Utah Jazz,John Stockton,Starter,30.5,5,11,0.455,0,0,,3,3,1.0,0,0,0,12,1,1,3,2,13,4.0
1999-02-05T00:00:00,Utah Jazz,Jeff Hornacek,Starter,29.48333333333333,5,8,0.625,0,1,0.0,7,7,1.0,1,2,3,4,0,0,3,0,17,4.0
1999-02-05T00:00:00,Utah Jazz,Bryon Russell,Starter,26.43333333333333,5,7,0.7140000000000001,1,2,0.5,4,5,0.8,0,3,3,1,1,0,1,4,15,-2.0
1999-02-05T00:00:00,Utah Jazz,Greg Ostertag,Starter,22.36666666666667,1,2,0.5,0,0,,1,2,0.5,0,4,4,0,0,4,0,0,3,10.0
1999-02-05T00:00:00,Utah Jazz,Shandon Anderson,Reserve,22.36666666666667,5,6,0.833,2,2,1.0,4,5,0.8,0,3,3,0,2,0,2,3,16,5.0
1999-02-05T00:00:00,Dallas Mavericks,Steve Nash,Starter,39.65,3,13,0.231,3,9,0.33299999999999996,0,1,0.0,2,0,2,5,1,0,1,3,9,-6.0
1999-02-05T00:00:00,Sacramento Kings,Jason Williams,Starter,36.6,9,19,0.474,3,7,0.429,0,0,,0,4,4,3,5,1,2,1,21,-23.0
1999-02-05T00:00:00,Miami Heat,Terry Porter,Reserve,17.283333333333335,2,5,0.4,0,2,0.0,0,0,,0,1,1,1,0,0,0,2,4,-13.0
1999-02-05T00:00:00,Miami Heat,Dan Majerle,Starter,30.5,3,6,0.5,0,2,0.0,1,2,0.5,2,3,5,3,0,0,1,1,7,-13.0
1999-02-05T00:00:00,Miami Heat,P.J. Brown,Starter,35.583333333333336,4,6,0.667,0,0,,2,2,1.0,0,3,3,1,0,0,1,4,10,-18.0
1999-02-05T00:00:00,Miami Heat,Tim Hardaway,Starter,41.68333333333333,7,17,0.41200000000000003,4,9,0.444,0,1,0.0,0,2,2,7,1,1,2,2,18,-14.0
1999-02-05T00:00:00,Miami Heat,Alonzo Mourning,Starter,42.7,6,13,0.462,0,0,,2,4,0.5,3,6,9,2,0,7,3,4,14,-9.0
1999-02-05T00:00:00,Miami Heat,Jamal Mashburn,Starter,43.71666666666667,6,16,0.375,0,0,,7,11,0.636,1,5,6,7,2,2,7,5,19,-9.0
1999-02-05T00:00:00,Atlanta Hawks,Grant Long,Reserve,18.3,2,3,0.667,0,0,,6,8,0.75,1,4,5,1,1,0,1,4,10,20.0
1999-02-05T00:00:00,Los Angeles Clippers,James Robinson,Reserve,18.3,2,6,0.33299999999999996,1,2,0.5,2,2,1.0,0,0,0,0,1,1,0,2,7,0.0
1999-02-05T00:00:00,Los Angeles Clippers,Lorenzen Wright,Starter,26.43333333333333,5,7,0.7140000000000001,0,0,,1,1,1.0,2,8,10,0,2,1,1,4,11,-8.0
1999-02-05T00:00:00,Los Angeles Clippers,Eric Piatkowski,Starter,28.466666666666665,6,10,0.6,3,6,0.5,1,2,0.5,0,0,0,1,0,0,2,1,16,-8.0
1999-02-05T00:00:00,Los Angeles Clippers,Rodney Rogers,Starter,30.5,3,11,0.273,1,3,0.33299999999999996,4,6,0.667,4,7,11,3,0,0,4,4,11,-2.0
1999-02-05T00:00:00,Los Angeles Clippers,Darrick Martin,Starter,38.63333333333333,2,6,0.33299999999999996,2,5,0.4,5,5,1.0,1,1,2,6,3,0,3,4,11,-9.0
1999-02-05T00:00:00,Los Angeles Clippers,Lamond Murray,Starter,42.7,6,19,0.316,1,4,0.25,1,4,0.25,3,8,11,2,4,1,3,3,14,-2.0
1999-02-05T00:00:00,Phoenix Suns,Toby Bailey,Reserve,1.0166666666666666,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-2.0
1999-02-05T00:00:00,Los Angeles Clippers,Michael Olowokandi,Reserve,21.35,5,9,0.556,0,0,,4,5,0.8,3,3,6,0,0,1,2,4,14,-4.0
1999-02-05T00:00:00,Denver Nuggets,Keon Clark,Reserve,11.183333333333335,1,4,0.25,0,0,,0,0,,2,0,2,0,0,2,0,2,2,1.0
1999-02-05T00:00:00,Denver Nuggets,Chauncey Billups,Reserve,19.316666666666666,0,4,0.0,0,2,0.0,7,7,1.0,0,0,0,1,0,0,4,4,7,-5.0
1999-02-05T00:00:00,Denver Nuggets,Danny Fortson,Reserve,23.38333333333333,5,13,0.385,0,1,0.0,2,5,0.4,6,11,17,0,1,0,2,6,12,-1.0
1999-02-05T00:00:00,Detroit Pistons,Don Reid,Reserve,26.43333333333333,0,1,0.0,0,0,,0,0,,2,5,7,3,1,2,3,4,0,5.0
1999-02-05T00:00:00,Detroit Pistons,Jerome Williams,Reserve,26.43333333333333,3,6,0.5,0,0,,0,0,,5,6,11,0,1,0,1,2,6,14.0
1999-02-05T00:00:00,Detroit Pistons,Jerry Stackhouse,Reserve,31.516666666666666,7,18,0.389,1,3,0.33299999999999996,9,9,1.0,1,2,3,2,0,0,2,2,24,11.0
1999-02-05T00:00:00,Detroit Pistons,Loy Vaught,Starter,18.3,2,5,0.4,0,0,,0,0,,2,2,4,1,0,0,0,3,4,2.0
1999-02-05T00:00:00,Detroit Pistons,Bison Dele,Starter,21.35,3,6,0.5,0,0,,2,5,0.4,3,2,5,1,2,0,2,4,8,10.0
1999-02-05T00:00:00,Detroit Pistons,Joe Dumars,Starter,23.38333333333333,5,10,0.5,4,7,0.5710000000000001,0,0,,0,0,0,2,0,0,0,1,14,-5.0
1999-02-05T00:00:00,Detroit Pistons,Jud Buechler,Reserve,13.216666666666667,1,4,0.25,1,3,0.33299999999999996,0,0,,0,2,2,0,0,0,0,0,3,5.0
1999-02-05T00:00:00,Detroit Pistons,Grant Hill,Starter,33.55,7,15,0.467,0,0,,5,8,0.625,1,2,3,0,3,0,4,3,19,12.0
1999-02-05T00:00:00,Phoenix Suns,Pat Garrity,Reserve,6.1,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-7.0
1999-02-05T00:00:00,Phoenix Suns,Gerald Brown,Reserve,8.133333333333333,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,2,2,3,-18.0
1999-02-05T00:00:00,Phoenix Suns,Danny Manning,Reserve,17.283333333333335,2,6,0.33299999999999996,0,0,,0,0,,0,3,3,0,1,1,2,1,4,3.0
1999-02-05T00:00:00,Phoenix Suns,Shawn Respert,Reserve,18.3,3,8,0.375,0,2,0.0,1,2,0.5,1,1,2,1,1,0,1,0,7,1.0
1999-02-05T00:00:00,Phoenix Suns,Luc Longley,Starter,27.45,4,6,0.667,0,0,,2,2,1.0,1,6,7,1,1,1,2,5,10,13.0
1999-02-05T00:00:00,Phoenix Suns,Clifford Robinson,Starter,36.6,8,15,0.5329999999999999,0,0,,3,9,0.33299999999999996,1,1,2,2,1,2,0,3,19,7.0
1999-02-05T00:00:00,Phoenix Suns,Marko Milič,Reserve,4.066666666666666,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-1.0
1999-02-05T00:00:00,Orlando Magic,Anfernee Hardaway,Starter,40.66666666666666,4,14,0.28600000000000003,0,2,0.0,4,5,0.8,2,7,9,2,1,0,3,3,12,-4.0
1999-02-05T00:00:00,Detroit Pistons,Mark Macon,Reserve,3.05,1,2,0.5,0,0,,0,0,,0,0,0,1,2,0,0,0,2,2.0
1999-02-05T00:00:00,New York Knicks,Latrell Sprewell,Starter,35.583333333333336,8,16,0.5,2,5,0.4,6,9,0.667,1,5,6,2,2,0,3,4,24,-11.0
1999-02-05T00:00:00,Denver Nuggets,Cory Alexander,Reserve,23.38333333333333,1,8,0.125,0,4,0.0,4,4,1.0,0,1,1,2,2,0,3,3,6,4.0
1999-02-05T00:00:00,Denver Nuggets,Raef LaFrentz,Starter,25.41666666666667,4,7,0.5710000000000001,1,2,0.5,2,2,1.0,2,5,7,0,1,0,1,5,11,-12.0
1999-02-05T00:00:00,Charlotte Hornets,Joe Wolf,Reserve,5.083333333333333,0,0,,0,0,,0,2,0.0,0,0,0,0,0,0,0,4,0,-7.0
1999-02-05T00:00:00,Charlotte Hornets,Brad Miller,Reserve,6.1,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,2,0,0.0
1999-02-05T00:00:00,Charlotte Hornets,Ricky Davis,Reserve,15.25,2,5,0.4,0,0,,2,4,0.5,2,2,4,1,1,0,2,0,6,-6.0
1999-02-05T00:00:00,Charlotte Hornets,Travis Williams,Reserve,16.266666666666666,2,4,0.5,0,0,,0,0,,1,6,7,1,1,0,2,3,4,-13.0
1999-02-05T00:00:00,New York Knicks,Patrick Ewing,Starter,38.63333333333333,7,13,0.5379999999999999,0,0,,3,5,0.6,1,8,9,2,0,0,4,4,17,7.0
1999-02-05T00:00:00,Charlotte Hornets,Chucky Brown,Reserve,19.316666666666666,1,4,0.25,0,0,,0,0,,0,2,2,0,1,1,1,0,2,-8.0
1999-02-05T00:00:00,New York Knicks,Dennis Scott,Reserve,7.116666666666666,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,0,1,0,-2.0
1999-02-05T00:00:00,New York Knicks,Chris Dudley,Reserve,11.183333333333335,2,2,1.0,0,0,,1,2,0.5,1,1,2,0,0,1,2,4,5,-17.0
1999-02-05T00:00:00,New York Knicks,Kurt Thomas,Reserve,18.3,3,4,0.75,0,0,,1,2,0.5,1,4,5,3,1,1,1,3,7,-11.0
1999-02-05T00:00:00,New York Knicks,Chris Childs,Reserve,22.36666666666667,2,5,0.4,0,0,,0,1,0.0,0,1,1,1,2,0,0,4,4,-20.0
1999-02-05T00:00:00,New York Knicks,Charlie Ward,Starter,32.53333333333333,3,5,0.6,0,2,0.0,0,0,,0,5,5,6,3,1,6,0,6,6.0
1999-02-05T00:00:00,New York Knicks,Larry Johnson,Starter,32.53333333333333,5,9,0.556,0,0,,0,0,,4,3,7,1,1,0,0,4,10,13.0
1999-02-05T00:00:00,New York Knicks,Marcus Camby,Reserve,0.0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
1999-02-05T00:00:00,Orlando Magic,Nick Anderson,Starter,38.63333333333333,7,18,0.389,3,8,0.375,2,4,0.5,2,7,9,4,2,0,0,0,19,6.0
1999-02-05T00:00:00,Orlando Magic,Bo Outlaw,Starter,33.55,1,6,0.16699999999999998,0,0,,1,6,0.16699999999999998,1,4,5,0,2,1,2,4,3,-10.0
